Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kazakhstan,9934563,10756928,10349414,11147859,11511847,11841920,12132559,12385710,12611426,12824606,13036139,13250213,13463985,13673007,13869975,14050226,14212145,14359624,14499952,14643133,14796174,14958908,15128087,15303309,15483419,15665595,15852525,16039251,16206002,16249500,16348000,16450500,16439095,16330419,16095199,15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276499
Kenya,8120080,8647011,8377696,8928511,9222692,9530173,9851444,10187478,10539894,10910675,11301394,11713048,12146068,12600797,13077341,13575907,14096263,14638890,15205374,15797776,16417197,17063876,17736326,18431761,19146400,19877083,20622560,21382112,22153676,22935092,23724579,24521703,25326078,26136216,26950513,27768296,28589451,29415659,30250488,31098757,31964557,32848564,33751739,34678779,35635271,36624895,37649033,38705932,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010
Kyrgyz Republic,2172300,2333400,2255900,2413700,2495300,2573300,2655300,2736500,2818300,2894800,2959900,3022300,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6315800
Cambodia,5722370,6028431,5872966,6183584,6331449,6467197,6585035,6685960,6779787,6880623,6996576,7139647,7302111,7449238,7533336,7524447,7404684,7196042,6957265,6770396,6693764,6749847,6919801,7169997,7447853,7714880,7960949,8198082,8435912,8691334,8975597,9289299,9623889,9970733,10317899,10656138,10982917,11298600,11600508,11886458,12155239,12405408,12637727,12856163,13066469,13273354,13477709,13679962,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798
Kiribati,41202,43281,42229,44338,45399,46429,47434,48417,49363,50267,51151,51980,52780,53553,54333,55114,55924,56764,57618,58461,59301,60104,60887,61733,62744,63986,65505,67248,69089,70853,72400,73692,74766,75716,76670,77723,78903,80187,81556,82972,84396,85849,87305,88835,90499,92325,94343,96527,98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847
St. Kitts and Nevis,51195,50963,51192,50525,49931,49214,48358,47381,46397,45534,44883,44490,44320,44311,44328,44272,44143,43942,43708,43455,43205,42960,42728,42482,42199,41866,41479,41041,40641,40354,40259,40379,40697,41135,41617,42074,42475,42854,43221,43614,44074,44599,45165,45746,46324,46857,47339,47778,48185,48599,49016,49447,49887,50331,50774,51203,51625,52045,52441
"Korea, Rep.",25012374,26513030,25765673,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256
Kuwait,269029,337348,300576,378746,423898,472037,523166,577164,632899,688979,744450,798642,851916,905635,961770,1021720,1085861,1153583,1224067,1296081,1368677,1439331,1507645,1576968,1652150,1735274,1832310,1938909,2034857,2092777,2095344,2031296,43747962,44194628,44641540,1605901,1626857,1710256,1831119,1951636,2045123,2103282,2136997,2161626,2200492,2270198,2373672,2504019,2656009,2821045,2991884,3168060,3348853,3526378,3690942,3835591,3956873,4056097,4137309
Latin America & Caribbean (excluding high income),204214185,215945959,209991788,222052829,228279229,234599288,241005051,247497113,254069201,260716644,267436459,274223248,281076139,288002834,295014919,302121282,309317366,316599746,323978218,331465770,339067716,346786830,354608437,362498351,370410991,378311111,386183203,394027388,401843272,409636367,417409519,425153755,432859827,440530487,448171372,455783349,463368817,470916671,478398772,485778282,493029013,500140855,507121489,513985894,520757766,527455967,534080194,540628539,547116062,553561029,559867514,566309408,572713225,579053861,585296422,591416820,597399287,603254104,609013934
Lao PDR,2120898,2221125,2170344,2273351,2327137,2382594,2439196,2496920,2556852,2620434,2688428,2762265,2840841,2919287,2990965,3051577,3098973,3135842,3168843,3207328,3258144,3323366,3401191,3489903,3586316,3687898,3794198,3905530,4020811,4138845,4258472,4379236,4500351,4619944,4735845,4846483,4951195,5050315,5144602,5235346,5323700,5409582,5493246,5576640,5662208,5751676,5846074,5944948,6046620,6148623,6249165,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507
Lebanon,1804941,1925297,1864619,1985001,2041229,2092375,2136617,2174738,2210772,2250447,2297434,2354047,2417836,2481943,2536778,2575749,2596406,2601740,2597205,2590902,2588929,2594302,2606139,2622072,2638054,2651995,2660872,2667960,2684675,2726440,2803044,2921706,3076132,3246126,3403357,3528380,3610665,3658424,3693520,3747766,3842778,3991001,4182205,4388375,4569378,4698763,4759753,4767344,4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925
Liberia,1118657,1166648,1142302,1191802,1217901,1245102,1273464,1303035,1333978,1366502,1400730,1436738,1474567,1514366,1556290,1600452,1645836,1692140,1740914,1794248,1853001,1918826,1989483,2057227,2111671,2145754,2158429,2153316,2134097,2106431,2075912,2040139,2001624,1976699,1986493,2044661,2160478,2326202,2517481,2699712,2848456,2953927,3024729,3077058,3135651,3218116,3329211,3461911,3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977
Libya,1448417,1550813,1498071,1607171,1667825,1733306,1803683,1878877,1958914,2043818,2133526,2228146,2327490,2430755,2536888,2645139,2754696,2865637,2979093,3096729,3219466,3347781,3480454,3614689,3746715,3873781,3994597,4109725,4220450,4328939,4436661,4544242,4650885,4755133,4854875,4948798,5036171,5118007,5196780,5275926,5357891,5443248,5531089,5620547,5710154,5798614,5886872,5974787,6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567
St. Lucia,89697,91891,90716,93211,94636,96134,97715,99365,101035,102597,104015,105247,106310,107320,108391,109627,111067,112685,114400,116136,117822,119430,120988,122564,124292,126244,128449,130856,133367,135788,138020,139995,141760,143409,145083,146870,148834,150913,153021,154995,156729,158179,159392,160530,161816,163417,165381,167639,170011,172221,174085,175544,176646,177513,178296,179126,180024,180955,181889
Latin America & Caribbean,219907801,232265533,225993884,238696012,245233432,251850859,258538106,265295652,272128513,279037414,286027166,293097388,300238819,307462534,314773956,322176757,329667217,337240049,344913615,352693991,360591861,368601995,376714428,384896426,393106351,401311796,409496610,417659736,425800798,433925886,442040696,450125305,458175526,466199679,474193423,482150647,490080681,497957410,505774348,513442848,520964431,528336554,535570691,542684680,549705414,556652026,563521369,570314774,577050884,583746102,590303295,596966199,603586217,610151927,616619613,622986033,629240066,635372515,641357515
Least developed countries: UN classification,240518433,251900741,246113640,257908074,264174179,270720892,277573029,284708409,292045744,299473256,306916896,314344629,321797581,329357353,337142681,345242710,353691338,362475112,371577256,380963304,390612563,400528924,410740611,421279107,432185325,443491288,455193656,467290514,479814021,492803028,506275612,520262423,534731006,549559264,564581083,579681672,594801259,609983301,625342098,641046802,657215864,673903112,691061397,708587948,726331177,744190510,762132501,780219542,798563392,817322629,836614860,856472234,876869863,897797478,919226401,941131317,963511276,986365080,1009662578
Low income,158779911,165830670,162259865,169529568,173410029,177509185,181839891,186385902,191120090,196001924,201001375,206110337,211335895,216681265,222154521,227761362,233513206,239409309,245430650,251550765,257758125,264051673,270462062,277049449,283893524,291057942,298550548,306374108,314578310,323219957,332330635,341955755,352066121,362526825,373150870,383810298,394448671,405123344,415959410,427140442,438799433,450962074,463584766,476645372,490099969,503907174,518097437,532663586,547481280,562386040,577274011,592092182,606913332,621915808,637350644,653405207,670117389,687449530,705417321
Liechtenstein,16493,17289,16893,17719,18168,18649,19152,19691,20235,20766,21266,21728,22151,22563,22983,23438,23931,24448,24975,25459,25879,26238,26536,26789,27036,27288,27559,27837,28129,28449,28789,29159,29553,29975,30426,30880,31348,31830,32311,32769,33184,33552,33879,34175,34452,34713,34970,35217,35471,35727,35994,36293,36615,36934,37223,37470,37658,37800,37910
Sri Lanka,9874476,10352179,10111637,10597511,10849975,11110820,11380670,11657650,11937600,12214956,12485740,12747821,13002231,13252036,13501935,13755146,14012899,14273495,14533690,14788862,15035834,15272831,15501207,15724651,15948487,16176280,16408859,16643952,16878189,17106753,17325773,17535729,17736821,17924823,18094477,18242912,18367288,18470900,18564599,18663284,18777601,18911730,19062482,19224037,19387153,19544988,19695972,19842044,19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000
Lower middle income,928490499,971742838,949753699,994420244,1017725630,1041611332,1066074552,1091126634,1116788548,1143088505,1170050244,1197695284,1226045232,1255126850,1284982577,1315638970,1347077568,1379310126,1412439164,1446597778,1481859807,1518293900,1555686714,1593969308,1632885169,1672196713,1711883766,1751925747,1792245451,1832773126,1875358869,1915913909,1956554979,1997079030,2037399623,2077790619,2118416707,2159201405,2199992975,2240609732,2281159205,2321544987,2361829370,2402147090,2442531361,2483021672,2523645459,2564440295,2605437640,2646675754,2688436551,2730385840,2772231195,2814221065,2856124025,2898058449,2939830821,2981420591,3022905169
Low & middle income,2271826072,2344507821,2301530783,2399685292,2455350597,2512791707,2573990531,2635220005,2698168546,2763558198,2830664982,2899197937,2966819339,3034402941,3101560890,3167483411,3232891073,3297820434,3363879204,3431452144,3500013974,3570596695,3644529753,3719629711,3794807260,3871482909,3950364261,4031393179,4113221493,4194569000,4277170872,4356603492,4434540894,4511601957,4588114102,4664148544,4739881155,4815512572,4890406949,4964125844,5037268787,5109571487,5181350933,5253312522,5325421944,5397859154,5470400681,5542975651,5616213108,5690410869,5765121055,5840675761,5916770281,5993786433,6071330528,6149221337,6227752871,6306560891,6383958209
Lesotho,837270,869136,852890,886057,903763,922306,941794,962273,983685,1005909,1028926,1052614,1077095,1102878,1130635,1160792,1193521,1228536,1265202,1302667,1340255,1377799,1415367,1452728,1489691,1526131,1561692,1596394,1630996,1666563,1703747,1742539,1782285,1822236,1861324,1898598,1934291,1968044,1997516,2019731,2032804,2035740,2029829,2018348,2005940,1996114,1989939,1986922,1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132
Late-demographic dividend,1097403781,1114451802,1099797275,1140424871,1165967060,1192235073,1221252541,1249424428,1278385430,1308816321,1339919001,1371557517,1401527248,1430526179,1458108109,1483449266,1507257850,1529518337,1551730186,1574150421,1596184271,1618775545,1643485593,1668173934,1691966485,1716487312,1742456920,1769838060,1797369949,1823976433,1849526605,1873490015,1893548031,1914561058,1935068108,1956575285,1975922433,1994983078,2013289641,2030330432,2045841423,2060587322,2074469505,2088020747,2101455067,2115014282,2128455973,2141610789,2154947270,2168543985,2181529363,2194530619,2207632770,2220999087,2234568586,2248128427,2262158994,2276319334,2288665963
Lithuania,2778550,2863350,2823550,2898950,2935200,2971450,3008050,3044400,3078850,3107321,3139689,3179041,3213622,3244438,3273894,3301652,3328664,3355036,3379514,3397842,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533
Luxembourg,313970,320750,316845,324100,327750,331500,333895,334995,335850,337500,339171,342421,346600,350450,355050,358950,360731,361358,362007,362856,364150,365225,365525,365622,365998,366706,368355,370750,373450,377100,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607728
Latvia,2120979,2181586,2152681,2210919,2240623,2265919,2283217,2301220,2323619,2343173,2359164,2376389,2395674,2415819,2437186,2456130,2470989,2485073,2497921,2505953,2511701,2519421,2531080,2546011,2562047,2578873,2599892,2626583,2653434,2666955,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542
"Macao SAR, China",167791,176183,170462,184245,193561,203228,213192,223418,233000,240839,246194,248738,248767,246947,244285,241628,239075,236678,235171,235440,238071,243373,251158,260931,271918,283503,295591,308180,320773,332783,343808,353626,362311,370199,377798,385513,393373,401352,409616,418383,427782,437938,448821,460165,471597,482858,493799,504511,515239,526400,538219,550832,564039,577372,590208,602085,612836,622585,631636
St. Martin (French part),3893,4076,3989,4183,4308,4468,4685,4920,5193,5459,5712,5944,6156,6368,6607,6881,7246,7718,8190,8557,8771,8678,8369,8294,9061,11061,14559,19275,24378,28722,31520,32449,31811,30200,28484,27321,26849,26909,27392,28116,28935,29853,30910,32053,33186,34248,35237,36137,36885,37377,37582,37446,37009,36453,36015,35858,36065,36560,37264
Morocco,12328532,13094888,12710581,13478423,13857649,14230163,14595350,14954031,15307273,15656843,16004731,16350881,16696891,17048518,17413144,17796164,18198844,18620093,19059770,19516942,19990012,20479715,20984009,21495086,22002643,22499110,22980335,23447252,23903592,24355619,24807462,25260404,25711406,26155203,26584478,26994250,27383473,27754571,28110443,28455509,28793679,29126330,29454768,29782884,30115214,30455561,30804683,31163673,31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138
Monaco,22452,23039,22808,23168,23236,23282,23305,23292,23304,23346,23484,23721,24051,24439,24836,25198,25524,25809,26087,26394,26745,27162,27627,28097,28510,28832,29041,29168,29229,29305,29438,29622,29865,30146,30435,30716,30995,31280,31556,31844,32147,32470,32806,33153,33500,33843,34190,34525,34872,35226,35612,36024,36460,36901,37322,37718,38070,38392,38682
Moldova,2544000,2664000,2605000,2720000,2774000,2825000,2873000,2918000,2960000,3002000,3044000,3087000,3131000,3174000,3215000,3251000,3284000,3312000,3339000,3366000,3396000,3429000,3464000,3500000,3536000,3570000,3602000,3633000,3660000,3681000,3696000,3704000,3706000,3701000,3690000,3675099,3667748,3654208,3652732,3647001,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,3545883
Madagascar,5099373,5352503,5223568,5486319,5625164,5769218,5918595,6073526,6234465,6401921,6576305,6757850,6946620,7142627,7345780,7556026,7773449,7998164,8230218,8469672,8716553,8971345,9234129,9504281,9780872,10063495,10352120,10647754,10952395,11268658,11598633,11942819,12301336,12675460,13066543,13475400,13902688,14347854,14808791,15282521,15766806,16260932,16765117,17279141,17802997,18336724,18880269,19433530,19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368
Maldives,89863,94905,92325,97551,100171,102718,105136,107478,109891,112582,115691,119302,123354,127701,132104,136417,140563,144631,148780,153276,158272,163824,169851,176244,182850,189537,196264,203028,209785,216510,223158,229751,236265,242605,248588,254139,259183,263842,268455,273527,279398,286306,294186,302683,311265,319608,327487,335169,343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696
Middle East & North Africa,105203269,111045434,108061812,114101592,117271166,120541214,123908159,127444958,131026912,134704201,138473064,142307879,146213388,150292291,154509812,158917328,163532323,168361100,173447058,178866341,184628605,190731422,197157159,203834190,210648811,217572788,224549844,231570113,238565130,245453259,254215138,261046309,265656619,272107828,278384965,286096964,292041181,297891731,303641740,309436741,315326801,321297208,327362252,333608779,340143481,347029874,354302463,361929136,369823252,377883993,385917886,393944527,401974219,409977874,417932242,425821770,433597626,441255234,448912859
Mexico,37771859,40195319,38966056,41462369,42771079,44123853,45519737,46956208,48431972,49945279,51493565,53076373,54689943,56324303,57966804,59607953,61242190,62869903,64494869,66123897,67761372,69407624,71058654,72709299,74352631,75983485,77599098,79200081,80788721,82368931,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788
Marshall Islands,14662,15547,15051,16114,16710,17284,17842,18388,18961,19622,20395,21313,22341,23439,24531,25576,26552,27470,28406,29416,30576,31893,33328,34889,36557,38333,40211,42173,44083,45820,47271,48404,49245,49831,50215,50457,50533,50450,50356,50423,50753,51422,52370,53456,54476,55258,55767,56051,56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413
Middle income,2113046161,2178677151,2139270918,2230155724,2281940568,2335282522,2392150640,2448834103,2507048456,2567556274,2629663607,2693087600,2755483444,2817721676,2879406369,2939722049,2999377867,3058411125,3118448554,3179901379,3242255849,3306545022,3374067691,3442580262,3510913736,3580424967,3651813713,3725019071,3798643183,3871349043,3944840237,4014647737,4082474773,4149075132,4214963232,4280338246,4345432484,4410389228,4474447539,4536985402,4598469354,4658609413,4717766167,4776667150,4835321975,4893951980,4952303244,5010312065,5068731828,5128024829,5187847044,5248583579,5309856949,5371870625,5433979884,5495816130,5557635482,5619111361,5678540888
North Macedonia,1488667,1527111,1507654,1547450,1569142,1592433,1617795,1644943,1672399,1698144,1720800,1739521,1754956,1768991,1784398,1803010,1825552,1851069,1877688,1902719,1924197,1941530,1955243,1965895,1974415,1981534,1987538,1992274,1995513,1996870,1996228,1993302,1988659,1984028,1981703,1983252,1989443,1999598,2012057,2024394,2034819,2042842,2048928,2053426,2057048,2060273,2063131,2065426,2067313,2069039,2070741,2072487,2074278,2076067,2077775,2079328,2080745,2081996,2082958
Mali,5263733,5381368,5322266,5441613,5503752,5568484,5635859,5706199,5780835,5861412,5949045,6044530,6147458,6256187,6368348,6482278,6596728,6712267,6831085,6956402,7090126,7234728,7388668,7545166,7694855,7831889,7952865,8062219,8171522,8296915,8449913,8635527,8850334,9087176,9334880,9585653,9837571,10094368,10360561,10642936,10946445,11271600,11616887,11982695,12369070,12775516,13203378,13651464,14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690
Malta,326550,323900,325250,322550,321250,318800,315200,311550,307900,304300,302650,302700,302450,302200,301996,304222,305774,306970,310182,313342,316645,318982,325898,330524,330593,336452,342121,344485,347325,350722,354170,363845,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,483530
Myanmar,21736942,22697667,22211624,23198241,23717788,24259359,24823940,25410060,26015248,26635849,27269069,27913750,28570097,29238168,29918461,30611095,31314341,32026742,32748784,33481396,34224313,34976462,35734272,36491800,37241527,37977086,38698482,39404335,40085651,40731426,41335199,41890197,42401684,42890002,43383428,43901598,44452206,45027233,45611220,46181077,46719701,47225120,47702171,48148902,48564484,48949924,49301050,49621475,49929642,50250367,50600818,50990615,51413698,51852451,52280807,52680726,53045226,53382581,53708395
Middle East & North Africa (excluding high income),97553162,102808053,100147129,105546273,108376339,111307812,114351833,117503859,120739199,124023257,127335091,130670746,134051043,137511210,141099581,144855682,148781931,152881209,157192233,161761420,166616401,171766031,177185670,182825264,188614696,194494169,200443463,206447530,212456887,218415849,226259037,232101440,237828663,243429290,248897270,254233351,259431597,264504166,269440690,274350032,279279634,284249018,289264324,294343628,299502774,304755503,310109412,315573347,321168767,326900984,332777824,338814807,345004009,351299193,357637340,363975550,370276461,376546755,382896715
Montenegro,480579,502558,491140,513409,521753,526327,526419,522796,517481,513340,512407,515449,521785,530220,538902,546487,552562,557576,562065,566888,572608,579445,587001,594506,600884,605398,607711,608144,607413,606571,606372,607105,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622345
Mongolia,955505,1011324,982178,1042383,1074514,1107124,1139961,1173191,1207104,1242214,1278825,1317050,1356670,1397304,1438425,1479651,1520865,1562209,1603906,1646291,1689622,1733475,1777727,1823216,1871090,1921881,1976310,2033344,2089715,2141011,2184145,2217917,2243495,2263186,2280479,2298020,2316568,2335734,2355664,2376225,2397418,2419588,2443271,2468762,2496391,2526424,2558856,2593820,2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208
Northern Mariana Islands,9979,10436,10245,10590,10783,11022,11344,11721,12140,12574,12994,13429,13882,14325,14677,14924,15026,15048,15170,15638,16633,18158,20167,22622,25500,28720,32370,36377,40288,43540,45752,46666,46476,45758,45364,45870,47521,50056,52997,55636,57453,58321,58420,57947,57246,56542,55882,55219,54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882
Mozambique,7184869,7507303,7342111,7679458,7857104,8039215,8225921,8417702,8614447,8816057,9022741,9232655,9446240,9668657,9906965,10165215,10443953,10738533,11041204,11341402,11630194,11913088,12189824,12439762,12636116,12764387,12808558,12786349,12758008,12805946,12987292,13328032,13806001,14370946,14948048,15483286,15960442,16397183,16813949,17244188,17711927,18221888,18764155,19331100,19910552,20493925,21080110,21673316,22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962
Mauritania,850384,901686,875581,928734,956799,985910,1016100,1047344,1079580,1112745,1146780,1181674,1217446,1254157,1291855,1330598,1370357,1411140,1453032,1496185,1540640,1586493,1633652,1681863,1730738,1780030,1829675,1879763,1930433,1981899,2034346,2087912,2142645,2198532,2255516,2313630,2372901,2433563,2496216,2561585,2630219,2702400,2778099,2857148,2939247,3024194,3111906,3202517,3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319
Mauritius,659351,700349,680757,718861,736381,753000,768813,783917,798413,812405,826000,839230,852053,864819,878042,892000,906507,921379,933499,949888,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303
Malawi,3659984,3839043,3747753,3933908,4032371,4134460,4240429,4350452,4464423,4582198,4703782,4829090,4958549,5093363,5235073,5384795,5545651,5717953,5896865,6075495,6250440,6412384,6565985,6737924,6964607,7268267,7666391,8141146,8636690,9075572,9404500,9600355,9685973,9710331,9745690,9844415,10022789,10264906,10552338,10854322,11148758,11432000,11713664,12000181,12301838,12625952,12973699,13341806,13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315
Malaysia,8156347,8692342,8417824,8973788,9253842,9526558,9790084,10046325,10297983,10549399,10804131,11062433,11324277,11592638,11871104,12162187,12468689,12790312,13122839,13460031,13798085,14134058,14471211,14819424,15192298,15598927,16043731,16522000,17022465,17528961,18029824,18519937,19002656,19484898,19977500,20487607,21017613,21562793,22114654,22661298,23194257,23709119,24208391,24698819,25190652,25690611,26201961,26720370,27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585
North America,198624409,205198600,202007500,208253700,211262900,214031100,216659000,219176000,221503000,223759000,226431000,229677632,232168663,234454577,236715369,239169275,241538008,244018243,246601803,249310344,251795337,254340965,256836391,259214381,261488476,263823014,266290660,268793450,271349094,274154622,277373464,281077441,284943859,288662674,292185983,295640057,299064347,302623445,306070116,309502571,312909974,316052361,319048184,321815286,324809693,327824506,331015609,334185120,337406357,340466060,343396098,345983901,348653238,351205682,353888995,356510820,359245384,361751263,364290258
Namibia,634142,665115,649279,681637,698796,716584,734867,753688,773422,794588,817469,842354,868958,896266,922903,947921,971121,992956,1014057,1035381,1057727,1080941,1105104,1131632,1162279,1198148,1239928,1286797,1336536,1386010,1432905,1476388,1516958,1555101,1591822,1627865,1663378,1698032,1731639,1763859,1794571,1823672,1851523,1879117,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255
New Caledonia,79000,83400,81200,85700,88100,90500,93500,96500,99500,104000,112000,120000,125500,128500,131000,132500,134000,136000,137500,138500,140050,142650,145700,148700,151650,154450,157350,160500,163650,166898,170899,175362,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060
Niger,3388764,3588228,3486326,3693980,3802803,3914117,4027963,4144592,4263927,4385927,4510644,4637988,4768227,4902151,5040798,5184941,5335085,5491153,5652652,5818763,5989004,6163705,6343523,6528641,6719309,6915997,7118883,7328943,7548433,7780245,8026591,8288735,8566770,8860287,9168312,9490288,9826598,10178201,10545716,10929918,11331557,11751365,12189983,12647984,13125916,13624467,14143971,14685399,15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948
Nigeria,45138458,47029822,46063563,48032934,49066760,50127921,51217973,52342233,53506196,54717039,55982144,57296983,58665808,60114625,61677177,63374298,65221378,67203128,69271917,71361131,73423633,75440502,77427546,79414840,81448755,83562785,85766399,88048032,90395271,92788027,95212450,97667632,100161710,102700753,105293700,107948335,110668794,113457663,116319759,119260063,122283850,125394046,128596076,131900631,135320422,138865016,142538308,146339977,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740
Nicaragua,1773129,1887425,1829778,1946234,2006481,2068381,2131976,2197298,2264623,2334279,2406513,2481341,2558699,2638699,2721415,2806857,2894972,2985489,3077866,3171408,3265519,3360140,3455123,3549711,3642976,3734341,3823130,3909671,3995533,4082958,4173434,4267568,4364512,4462497,4559006,4652185,4741578,4827661,4910647,4991040,5069302,5145366,5219328,5292118,5364935,5438690,5513763,5590055,5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513
Netherlands,11486631,11805689,11638712,11965966,12127120,12294732,12456251,12598201,12729721,12877984,13038526,13194497,13328593,13439322,13545056,13666335,13774037,13856185,13941700,14038270,14149800,14247208,14312690,14367070,14424211,14491632,14572278,14665037,14760094,14848907,14951510,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231017
Norway,3581239,3638918,3609800,3666537,3694339,3723168,3753012,3784539,3816486,3847707,3875763,3903039,3933004,3960612,3985258,4007313,4026152,4043205,4058671,4072517,4085620,4099702,4114787,4128432,4140099,4152516,4167354,4186905,4209488,4226901,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5314336
Nepal,10105050,10433145,10267264,10604621,10783967,10972912,11172529,11382967,11603928,11834654,12074626,12323982,12583140,12852206,13131260,13420369,13719471,14028536,14347641,14676929,15016402,15367230,15729431,16100617,16477473,16858310,17239673,17623693,18020753,18445028,18905478,19405504,19938320,20489975,21040904,21576071,22090352,22584775,23057883,23509964,23941110,24347106,24725627,25080872,25419344,25744500,26066693,26382581,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871
